Feature,Midle,Turned,Value
kyverno_io,,io,
kyverno_io_v1_ClusterPolicy,ClusterPolicy,ClusterPolicy,
kyverno_io_v1_ClusterPolicy_spec,ClusterPolicy,spec,
kyverno_io_v1_ClusterPolicy_spec_admission,ClusterPolicy,admission,
kyverno_io_v1_ClusterPolicy_spec_applyRules,ClusterPolicy,applyRules,
kyverno_io_v1_ClusterPolicy_spec_applyRules_All,ClusterPolicy,All,
kyverno_io_v1_ClusterPolicy_spec_applyRules_One,ClusterPolicy,One,
kyverno_io_v1_ClusterPolicy_spec_background,ClusterPolicy,background,
kyverno_io_v1_ClusterPolicy_spec_emitWarning,ClusterPolicy,emitWarning,
kyverno_io_v1_ClusterPolicy_spec_failurePolicy,ClusterPolicy,failurePolicy,
kyverno_io_v1_ClusterPolicy_spec_failurePolicy_Ignore,ClusterPolicy,Ignore,
kyverno_io_v1_ClusterPolicy_spec_failurePolicy_Fail,ClusterPolicy,Fail,
kyverno_io_v1_ClusterPolicy_spec_generateExisting,ClusterPolicy,generateExisting,
kyverno_io_v1_ClusterPolicy_spec_generateExistingOnPolicyUpdate,ClusterPolicy,generateExistingOnPolicyUpdate,
kyverno_io_v1_ClusterPolicy_spec_mutateExistingOnPolicyUpdate,ClusterPolicy,mutateExistingOnPolicyUpdate,
kyverno_io_v1_ClusterPolicy_spec_rules,ClusterPolicy,rules,-
kyverno_io_v1_ClusterPolicy_spec_rules_match,ClusterPolicy,match,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all,ClusterPolicy,all,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_clusterRoles,ClusterPolicy,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_clusterRoles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources,ClusterPolicy,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_annotations,ClusterPolicy,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_kinds,ClusterPolicy,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_kinds_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_names,ClusterPolicy,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_names_StringValue,ClusterPolicy,StringValue,
